"","ID","Voter.ID","Weight","Time.Created","Choice","Proposal.ID","Space.ID","N.Votes"
"16","0xeaf0079a0b7fe46bb6bd4902eddf3a9e5013361fff02a4c3124f04bda1a017e2","0x5388C7C6fD1bF4741dEB4ad08b76775a686CB276",1,1654179818,1,"0xe2f0a3100ef3ca54903c68d4cd9980ccee12bac5d46cf1b2b28d997ff755c473","poh.eth",4
"17","0x75fd66289c62ce8cd470f0b2320eff735d646e0b059b9a1f30a93a6bbc3ecb4d","0x4074D0b0519610bb675e7d74B4171039d230F451",1,1654179139,1,"0xe2f0a3100ef3ca54903c68d4cd9980ccee12bac5d46cf1b2b28d997ff755c473","poh.eth",6
"18","0xbb9f7fc775f0e5c04c6340a2a6753c2d2cbe4a8f07bd5f7d047f799f2094be56","0xa93159AC7fD211361b7e036199Cfe7f6625C35f8",1,1654176188,2,"0xe2f0a3100ef3ca54903c68d4cd9980ccee12bac5d46cf1b2b28d997ff755c473","poh.eth",4
"19","0x4ce1687c5cc45e8ca6a8179fa6a0fc4d5066871cdc89f8471d1b79bb985097c9","0x68c0dd2b5A5df00Bca4f7df8CA9b1425Fe817728",1,1654176154,1,"0xe2f0a3100ef3ca54903c68d4cd9980ccee12bac5d46cf1b2b28d997ff755c473","poh.eth",4
"20","0xc49d69563948a066b9b0f13b3cbfa1b24f979cc43ed273efc8983da35fadcc03","0x82914fa00a71d80d46090e1414720275FcdE6836",1,1654175980,1,"0xe2f0a3100ef3ca54903c68d4cd9980ccee12bac5d46cf1b2b28d997ff755c473","poh.eth",5
"21","0xb03018cfb55016445a5595dca3fd5523dd6fe1adc6b57b1fb9810511a5d85447","0xA770d7d1E99d1e4510aFFc670BC983fbcDC819F5",1,1654170218,1,"0xe2f0a3100ef3ca54903c68d4cd9980ccee12bac5d46cf1b2b28d997ff755c473","poh.eth",5
"22","0x29916e915b49208bf3cb48d1723d61300390ab5e12d4033a246e3058cdf49358","0xe724C1D534284f2837F3ab310eF8329BBD7c045E",1,1654165553,2,"0xe2f0a3100ef3ca54903c68d4cd9980ccee12bac5d46cf1b2b28d997ff755c473","poh.eth",7
"23","0xc091a9c086b5ddf934c4397c6fc0100410f95e850f73fdabd38277ad96bd9695","0xC97C5931C53223B434b64B44d03f4d5B404126b1",1,1654123090,1,"0xe2f0a3100ef3ca54903c68d4cd9980ccee12bac5d46cf1b2b28d997ff755c473","poh.eth",4
"24","0xe3a5f1f1d6e5eb1785a9bf91cb3967b704dc5c6ecc4f5aa119ffa9f251f12eda","0x58805f572924b83b8c224184d2Cf60ad3302DBDF",19,1654111351,2,"0xe2f0a3100ef3ca54903c68d4cd9980ccee12bac5d46cf1b2b28d997ff755c473","poh.eth",5
"25","0x570a3adf8a7589585cc7da094314248d24cecdfc3e0f89afa6f5d82cb5d29499","0xAEEB3B86314009F5eE315c49414646a1f5709d1C",1,1654101742,1,"0xe2f0a3100ef3ca54903c68d4cd9980ccee12bac5d46cf1b2b28d997ff755c473","poh.eth",6
"26","0x0e1404bf4fbcca34ea2aa64463c8b66cf78d3e4ccfaebb942ba8d507f0effa81","0xe81F882F114255c04044C6A2534d7887f981b14B",2,1654100218,2,"0xe2f0a3100ef3ca54903c68d4cd9980ccee12bac5d46cf1b2b28d997ff755c473","poh.eth",6
"27","0x72c9dfc7c079e9691761233a88bdf2ed69067c40e23cf461678cfc1623dfa212","0x0D70cbb4598A1ba7C21225C280a54C9fE9295802",1,1654098501,1,"0xe2f0a3100ef3ca54903c68d4cd9980ccee12bac5d46cf1b2b28d997ff755c473","poh.eth",4
"28","0x2f090fb3853a6cb3444582fc8a3e05ccd8390d17bd7de934ee2f682070988f9d","0xC6510245a3d961746DB4883916d2D600e19f4ff3",1,1654098485,1,"0xe2f0a3100ef3ca54903c68d4cd9980ccee12bac5d46cf1b2b28d997ff755c473","poh.eth",6
"29","0x0daa620f12199e4c8a3a2d066beacbd68ae02817fbdf6ae818cb4f5f9d20f22b","0x504E7620069a0a8354434dED3150ed7E2ECF5153",3,1654095028,1,"0xe2f0a3100ef3ca54903c68d4cd9980ccee12bac5d46cf1b2b28d997ff755c473","poh.eth",5
"30","0x724a1149cf95996427e96483dc5fd31f1aa5141b833aad20dacb44f4e6867f69","0x749A37e63d4B4FB8CA8a07a9C168eB55207c1d79",1,1654091555,1,"0xe2f0a3100ef3ca54903c68d4cd9980ccee12bac5d46cf1b2b28d997ff755c473","poh.eth",5
"31","0xc112807337a2741bde6347f344f26ea1041ebbdd542373e5bfe57c59c71a7563","0x521aacB43d89E1b8FFD64d9eF76B0a1074dEdaF8",1,1654087053,1,"0xe2f0a3100ef3ca54903c68d4cd9980ccee12bac5d46cf1b2b28d997ff755c473","poh.eth",4
"32","0xe0e17005660c2ccb73c1b116d8770bd68d2b68b9c974333be18adc3635a9147b","0x3c13f2B56AF614aC6381265EcB3B619bA26CC641",5,1654081799,1,"0xe2f0a3100ef3ca54903c68d4cd9980ccee12bac5d46cf1b2b28d997ff755c473","poh.eth",6
